Continents,Country Name,Total Flights,Rank,Country Name (Total Flights)
Africa,"Congo, The Democratic Republic of the",421,3.0,"Congo, The Democratic Republic of the (421)"
Africa,Madagascar,428,2.0,Madagascar (428)
Africa,South Africa,597,1.0,South Africa (597)
Asia,China,2572,1.0,China (2572)
Asia,India,1313,3.0,India (1313)
Asia,Indonesia,1461,2.0,Indonesia (1461)
Europe,France,1295,1.0,France (1295)
Europe,Russian Federation,1186,3.0,Russian Federation (1186)
Europe,United Kingdom,1215,2.0,United Kingdom (1215)
North America,Canada,4193,2.0,Canada (4193)
North America,Mexico,825,3.0,Mexico (825)
North America,United States,13972,1.0,United States (13972)
Oceania,Australia,3110,1.0,Australia (3110)
Oceania,French Polynesia,454,3.0,French Polynesia (454)
Oceania,New Zealand,481,2.0,New Zealand (481)
South America,Argentina,955,2.0,Argentina (955)
South America,Brazil,2382,1.0,Brazil (2382)
South America,Colombia,904,3.0,Colombia (904)
